,Ind_id,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Age,Employed_exp,Mobile_phone,Work_Phone,Phone,Email_id,Type_Occupation,Family_Members,label
27,5024917,F,N,Y,0,191399.3262295082,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,1,0,1,0,other,2,1
29,5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,1,0,0,0,Managers,2,1
30,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,33.0,13.0,1,0,0,0,Cleaning staff,2,1
31,5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,1,0,1,1,other,2,1
32,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.0,7.0,1,0,0,0,Laborers,1,1
33,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,1.0,1,1,0,0,Sales staff,3,1
34,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,36.0,10.0,1,0,0,0,other,2,1
35,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,56.0,4.0,1,0,0,0,Drivers,2,1
36,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,58.0,2.0,1,0,0,0,Drivers,2,1
37,5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,1,0,0,0,other,2,1
38,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,53.0,4.0,1,0,1,0,Laborers,2,1
39,5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,2.0,1,1,1,0,other,1,1
40,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,44.0,20.0,1,1,1,0,other,4,1
41,5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,0,0,0,other,1,1
42,5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,0,0,0,other,1,1
43,5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,64.0,0.0,1,0,0,0,other,1,1
44,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,1,0,1,0,Low-skill Laborers,3,1
45,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,1,0,1,0,Low-skill Laborers,3,1
46,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,11.0,1,0,0,0,Accountants,3,1
47,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,1,0,0,0,Laborers,3,1
48,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,1,0,0,0,Laborers,3,1
49,5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,1,1,0,0,Laborers,2,1
50,5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,1,1,0,0,Laborers,2,1
51,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,32.0,0.0,1,1,1,0,High skill tech staff,1,1
52,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,2.0,1,0,0,0,Laborers,3,1
53,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,26.0,2.0,1,0,0,0,Laborers,3,1
54,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,1,0,0,1,IT staff,2,1
55,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,1,0,0,1,IT staff,2,1
56,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,1,0,0,0,Drivers,2,1
57,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,1,0,0,0,Drivers,2,1
58,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,1,0,0,0,Drivers,2,1
59,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.0,6.0,1,1,0,0,Managers,2,1
60,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,1,0,0,0,Drivers,3,1
61,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,4.0,1,0,0,0,Drivers,1,1
62,5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,23.0,1,0,0,0,other,4,1
63,5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,23.0,1,0,0,0,other,4,1
64,5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,1,0,0,0,other,1,1
65,5058348,F,N,Y,0,191399.3262295082,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,1,0,0,0,other,1,1
66,5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,1,0,0,0,other,1,1
67,5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,1,0,0,0,other,1,1
68,5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,1,0,0,0,Sales staff,1,1
69,5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.0,1.0,1,0,0,0,Sales staff,1,1
70,5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,44.0,1.0,1,0,0,0,Sales staff,1,1
71,5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,57.0,0.0,1,0,0,0,other,2,1
72,5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,64.0,0.0,1,0,0,0,other,2,1
73,5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,1,0,1,0,other,2,1
74,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,25.0,4.0,1,0,0,1,Waiters/barmen staff,3,1
75,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,1,0,0,0,Laborers,2,1
76,5062137,M,N,Y,1,191399.3262295082,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,1,0,0,0,Laborers,2,1
77,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,42.0,11.0,1,0,0,0,High skill tech staff,2,1
78,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,4.0,1,0,0,0,other,2,1
79,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,26.0,8.0,1,0,0,0,Laborers,3,1
80,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,38.0,0.0,1,0,1,0,Sales staff,2,1
81,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,7.0,1,0,0,0,other,2,1
83,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,31.0,5.0,1,1,0,0,Accountants,2,1
84,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,31.0,5.0,1,1,0,0,Accountants,2,1
85,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,4.0,1,0,0,0,Core staff,2,1
86,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,14.0,1,0,0,0,High skill tech staff,4,1
87,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,1,1,0,0,other,3,1
88,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,1,1,0,0,other,3,1
89,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,1,0,0,0,Laborers,2,1
90,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,1,0,0,0,Laborers,2,1
91,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,1,0,0,0,Laborers,2,1
92,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.0,3.0,1,0,0,0,Managers,2,1
93,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,56.0,7.0,1,1,1,0,Accountants,2,1
94,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,35.0,6.0,1,0,0,0,other,3,1
95,5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,2.0,1,0,0,0,Security staff,2,1
96,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,1,0,0,0,Laborers,2,1
97,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,1,0,0,0,Laborers,2,1
98,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,1.0,1,0,0,0,Laborers,4,1
99,5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,1,0,0,0,other,2,1
100,5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41.0,19.0,1,0,0,0,Core staff,3,1
101,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,2.0,1,0,0,0,Core staff,1,1
102,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,2.0,1,0,0,0,Core staff,1,1
103,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46.0,6.0,1,1,1,0,Cleaning staff,1,1
104,5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,22.0,1,0,0,0,Managers,2,1
105,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,45.0,2.0,1,0,0,0,Laborers,1,1
106,5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,0.0,1,0,0,0,other,1,1
107,5105056,M,Y,N,0,191399.3262295082,Commercial associate,Higher education,Single / not married,Municipal apartment,32.0,2.0,1,0,1,1,High skill tech staff,1,1
108,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,19.0,1,0,0,0,Medicine staff,2,1
109,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.0,1.0,1,0,0,0,Security staff,1,1
110,5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.0,0.0,1,0,1,0,other,1,1
111,5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,1,0,1,0,other,2,1
112,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,1,1,1,0,other,3,1
113,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,1,1,1,0,other,3,1
114,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,1,0,0,0,Core staff,2,1
115,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,1,0,0,0,Core staff,2,1
116,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,1,0,0,0,Core staff,2,1
117,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,1,0,0,0,Core staff,2,1
118,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,9.0,1,0,0,0,Core staff,2,1
119,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,1,1,0,0,Managers,1,1
120,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,1,1,0,0,Managers,1,1
121,5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,20.0,1,0,0,0,Core staff,6,1
122,5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,1,0,0,0,other,2,1
123,5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,1,0,0,0,other,2,1
124,5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,1,0,0,0,other,2,1
125,5116305,F,N,Y,0,191399.3262295082,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,1,0,0,0,other,2,1
126,5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41.0,21.0,1,0,0,0,Core staff,2,1
127,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36.0,11.0,1,1,1,0,Laborers,3,1
128,5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,61.0,0.0,1,0,1,0,other,1,1
129,5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,1,0,1,0,other,1,1
130,5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,1,0,0,0,other,2,1
131,5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,1,0,0,0,other,2,1
132,5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,1,0,0,0,other,2,1
133,5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,59.0,0.0,1,0,0,0,other,2,1
134,5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,1,0,0,0,other,2,1
135,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,3.0,1,0,1,0,Laborers,2,1
136,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38.0,0.0,1,0,0,0,Laborers,2,1
137,5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,1,0,0,0,other,2,1
138,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,1,0,1,0,High skill tech staff,2,1
139,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,1,0,1,0,High skill tech staff,2,1
140,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.0,4.0,1,0,0,0,Cooking staff,1,1
141,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36.0,4.0,1,0,1,0,Laborers,3,1
142,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.0,5.0,1,1,0,0,Sales staff,4,1
144,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,1,0,0,0,Security staff,2,1
145,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,1,0,0,0,Security staff,2,1
146,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,1,0,0,0,Security staff,2,1
147,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,1,0,0,0,Core staff,1,1
148,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,1,0,0,0,Core staff,1,1
149,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Laborers,2,1
150,5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,2.0,1,0,0,0,Managers,2,1
151,5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,2.0,1,0,0,0,Managers,2,1
152,5142183,M,Y,Y,2,191399.3262295082,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,1,1,1,0,Managers,4,1
153,5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,1,1,1,0,Managers,4,1
154,5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,1,1,1,0,Managers,4,1
155,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,1,1,1,0,Drivers,3,1
156,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,1,1,1,0,Drivers,3,1
157,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,1,0,1,0,Core staff,1,1
158,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,1,0,1,0,Core staff,1,1
159,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,1,0,1,0,Core staff,1,1
160,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35.0,7.0,1,0,0,1,Laborers,3,1
161,5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59.0,0.0,1,0,0,0,other,2,1
162,5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,1,0,0,0,other,2,1
163,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.0,1.0,1,0,0,1,Managers,1,1
164,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,1,1,1,0,Sales staff,3,1
165,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,1,0,0,0,Security staff,2,1
166,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39.0,3.0,1,0,1,0,Managers,1,1
167,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,1,0,0,0,Security staff,2,1
168,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,1,0,0,0,Security staff,2,1
169,5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,1,0,1,1,Core staff,3,1
170,5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,1,0,1,1,Core staff,3,1
172,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,7.0,1,0,0,0,Managers,2,1
173,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.0,1,0,1,1,Medicine staff,2,1
174,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,34.0,4.0,1,0,1,1,Medicine staff,2,1
175,5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43.0,17.0,1,1,1,0,Cleaning staff,3,0
176,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,7.0,1,0,0,0,Laborers,2,0
177,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.0,1.0,1,0,1,1,Sales staff,2,0
178,5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,26.0,1,0,1,0,Core staff,2,0
179,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,8.0,1,0,0,1,Private service staff,3,0
180,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,1,0,0,0,Sales staff,3,0
181,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,6.0,1,0,0,0,Laborers,2,0
182,5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66.0,0.0,1,0,0,0,other,1,0
183,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,2.0,1,1,0,0,Core staff,2,0
184,5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,1,0,1,0,other,2,0
185,5033574,F,Y,Y,1,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,39.0,0.0,1,1,1,0,Cooking staff,3,0
186,5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,1,0,0,0,other,2,0
187,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,29.0,5.0,1,1,0,0,other,3,0
189,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,59.0,5.0,1,0,0,1,Core staff,2,0
190,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,1,0,0,0,other,1,0
191,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,1,0,0,0,other,1,0
192,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.0,2.0,1,0,0,0,Sales staff,1,0
193,5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,1,0,0,0,other,2,0
194,5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,45.0,0.0,1,0,0,0,other,2,0
195,5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,1,0,0,0,other,2,0
196,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34.0,8.0,1,0,0,0,other,2,0
197,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,4.0,1,0,0,0,Core staff,2,0
198,5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,1,0,0,0,other,2,0
199,5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,40.0,9.0,1,0,0,0,Laborers,2,0
200,5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,0.0,1,0,0,0,other,1,0
201,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,36.0,14.0,1,1,1,0,Core staff,2,0
202,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48.0,8.0,1,0,1,0,other,2,0
203,5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,1.0,1,0,0,0,Security staff,4,0
204,5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,53.0,7.0,1,0,0,0,other,1,0
205,5066627,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,2.0,1,0,0,0,other,2,0
206,5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,1,0,0,0,Laborers,2,0
207,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.0,3.0,1,0,1,0,other,2,0
208,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.0,4.0,1,0,0,1,other,4,0
